sensor_index,Sensor Name,timestamp,pa_latency,memory,humidity,humidity_a,humidity_b,temperature,temperature_a,temperature_b,pressure,pressure_a,pressure_b,voc,voc_a,voc_b,analog_input,pm1.0_atm,pm1.0_atm_a,pm1.0_atm_b,pm1.0_cf_1,pm1.0_cf_1_a,pm1.0_cf_1_b,pm2.5_alt,pm2.5_alt_a,pm2.5_alt_b,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1,pm2.5_cf_1_a,pm2.5_cf_1_b,pm10.0_atm,pm10.0_atm_a,pm10.0_atm_b,pm10.0_cf_1,pm10.0_cf_1_a,pm10.0_cf_1_b,scattering_coefficient,scattering_coefficient_a,scattering_coefficient_b,deciviews,deciviews_a,deciviews_b,visual_range,visual_range_a,visual_range_b,0.3_um_count,0.3_um_count_a,0.3_um_count_b,0.5_um_count,0.5_um_count_a,0.5_um_count_b,1.0_um_count,1.0_um_count_a,1.0_um_count_b,2.5_um_count,2.5_um_count_a,2.5_um_count_b,5.0_um_count,5.0_um_count_a,5.0_um_count_b,10.0_um_count,10.0_um_count_a,10.0_um_count_b
195055,MNUMS 121,1717617600,427,6297,14.233,14.233,14.233,87.0,87.0,87.0,867.836,867.836,867.836,62.94,,62.94,0.563,2.7,2.7,,9.7,9.7,,7.7,7.7,,180.5,180.5,,644.538,644.538,,168.003,168.003,,24.683,24.683,,1.345,1.345,,0.623,0.623,,0.072,0.072,,2.321,2.321,,2.321,2.321,,3.501,3.501,,3.501,3.501,,3.899,3.899,,3.899,3.899,
195055,MNUMS 121,1717603200,479,6317,14.3,14.3,14.3,89.0,89.0,89.0,868.027,868.027,868.027,62.263,,62.263,0.51,2.1,2.1,,7.3,7.3,,6.3,6.3,,207.8,207.8,,487.268,487.268,,128.524,128.524,,20.745,20.745,,1.435,1.435,,0.764,0.764,,0.086,0.086,,1.467,1.467,,1.467,1.467,,2.456,2.456,,2.456,2.456,,2.924,2.924,,2.924,2.924,
195055,MNUMS 121,1717581600,431,6297,17.0,17.0,17.0,90.966,90.966,90.966,863.79,863.79,863.79,65.359,,65.359,0.472,1.7,1.7,,5.7,5.7,,5.2,5.2,,232.2,232.2,,377.428,377.428,,98.082,98.082,,16.553,16.553,,1.318,1.318,,0.626,0.626,,0.085,0.085,,0.893,0.893,,0.893,0.893,,1.704,1.704,,1.704,1.704,,2.107,2.107,,2.107,2.107,
195055,MNUMS 121,1717552800,472,6306,15.466,15.466,15.466,93.0,93.0,93.0,861.213,861.213,861.213,55.472,,55.472,0.422,2.0,2.0,,6.2,6.2,,5.6,5.6,,223.8,223.8,,412.524,412.524,,110.816,110.816,,24.527,24.527,,3.827,3.827,,2.417,2.417,,0.358,0.358,,1.037,1.037,,1.037,1.037,,2.252,2.252,,2.252,2.252,,3.803,3.803,,3.803,3.803,
195055,MNUMS 121,1717563600,459,6306,19.0,19.0,19.0,92.267,92.267,92.267,861.152,861.152,861.152,68.692,,68.692,0.456,2.1,2.1,,7.1,7.1,,6.1,6.1,,211.1,211.1,,471.01,471.01,,123.002,123.002,,22.73,22.73,,2.58,2.58,,1.504,1.504,,0.157,0.157,,1.335,1.335,,1.335,1.335,,2.478,2.478,,2.478,2.478,,3.471,3.471,,3.471,3.471,
195055,MNUMS 121,1717596000,458,6328,15.0,15.0,15.0,89.0,89.0,89.0,867.428,867.428,867.428,60.577,,60.577,0.546,1.9,1.9,,6.3,6.3,,5.7,5.7,,221.5,221.5,,422.457,422.457,,111.073,111.073,,19.108,19.108,,1.706,1.706,,0.977,0.977,,0.114,0.114,,1.198,1.198,,1.198,1.198,,2.053,2.053,,2.053,2.053,,2.672,2.672,,2.672,2.672,
195055,MNUMS 121,1717588800,445,6311,16.0,16.0,16.0,90.0,90.0,90.0,865.821,865.821,865.821,58.105,,58.105,0.502,1.5,1.5,,5.0,5.0,,4.7,4.7,,243.6,243.6,,333.861,333.861,,89.2,89.2,,15.709,15.709,,1.614,1.614,,0.889,0.889,,0.171,0.171,,0.681,0.681,,0.681,0.681,,1.421,1.421,,1.421,1.421,,2.01,2.01,,2.01,2.01,
195055,MNUMS 121,1717628400,436,6317,15.0,15.0,15.0,86.934,86.934,86.934,868.659,868.659,868.659,67.663,,67.663,0.572,3.8,3.8,,12.7,12.7,,9.3,9.3,,154.6,154.6,,845.952,845.952,,222.4,222.4,,38.269,38.269,,3.23,3.23,,1.464,1.464,,0.213,0.213,,3.38,3.38,,3.38,3.38,,5.262,5.262,,5.262,5.262,,6.29,6.29,,6.29,6.29,
195055,MNUMS 121,1717560000,451,6312,16.867,16.867,16.867,93.0,93.0,93.0,860.581,860.581,860.581,59.522,,59.522,0.435,2.6,2.6,,7.7,7.7,,6.6,6.6,,202.2,202.2,,516.033,516.033,,139.368,139.368,,30.323,30.323,,4.031,4.031,,2.438,2.438,,0.485,0.485,,1.472,1.472,,1.473,1.473,,3.08,3.08,,3.08,3.08,,4.67,4.67,,4.668,4.668,
195055,MNUMS 121,1717570800,443,6331,17.767,17.767,17.767,92.0,92.0,92.0,861.199,861.199,861.199,64.455,,64.455,0.475,1.1,1.1,,4.1,4.1,,4.0,4.0,,261.7,261.7,,272.358,272.358,,71.169,71.169,,11.6,11.6,,1.421,1.421,,0.929,0.929,,0.129,0.129,,0.44,0.44,,0.44,0.44,,0.993,0.993,,0.993,0.993,,1.581,1.581,,1.581,1.581,
195055,MNUMS 121,1717585200,427,6306,16.3,16.3,16.3,90.0,90.0,90.0,864.789,864.789,864.789,62.539,,62.539,0.454,1.8,1.8,,6.0,6.0,,5.4,5.4,,226.3,226.3,,402.004,402.004,,107.811,107.811,,18.407,18.407,,1.833,1.833,,1.002,1.002,,0.129,0.129,,1.177,1.177,,1.177,1.177,,2.077,2.077,,2.077,2.077,,2.7,2.7,,2.7,2.7,
195055,MNUMS 121,1717614000,448,6297,15.0,15.0,15.0,87.233,87.233,87.233,867.608,867.608,867.608,60.315,,60.315,0.553,2.8,2.8,,9.6,9.6,,7.7,7.7,,180.8,180.8,,642.618,642.618,,168.06,168.06,,26.058,26.058,,1.324,1.324,,0.543,0.543,,0.086,0.086,,2.329,2.329,,2.329,2.329,,3.55,3.55,,3.55,3.55,,3.946,3.946,,3.946,3.946,
195055,MNUMS 121,1717599600,486,6306,15.0,15.0,15.0,89.0,89.0,89.0,867.558,867.558,867.558,62.689,,62.689,0.53,1.8,1.8,,6.1,6.1,,5.5,5.5,,225.2,225.2,,406.401,406.401,,106.898,106.898,,17.818,17.818,,1.385,1.385,,0.849,0.849,,0.143,0.143,,1.032,1.032,,1.032,1.032,,1.873,1.873,,1.873,1.873,,2.412,2.412,,2.412,2.412,
195055,MNUMS 121,1717606800,491,6306,14.0,14.0,14.0,88.1,88.1,88.1,868.014,868.014,868.014,61.135,,61.135,0.541,2.3,2.3,,8.3,8.3,,6.9,6.9,,195.6,195.6,,551.878,551.878,,142.351,142.351,,22.758,22.758,,1.665,1.665,,0.726,0.726,,0.143,0.143,,1.855,1.855,,1.855,1.855,,2.909,2.909,,2.909,2.909,,3.401,3.401,,3.401,3.401,
195055,MNUMS 121,1717545600,480,6305,14.084,14.084,14.084,94.575,94.575,94.575,861.217,861.217,861.217,64.787,,64.787,0.399,2.1,2.1,,5.8,5.8,,5.3,5.3,,229.5,229.5,,388.667,388.667,,104.897,104.897,,27.66,27.66,,5.051,5.051,,2.884,2.884,,0.55,0.55,,0.956,0.956,,0.956,0.956,,2.471,2.471,,2.471,2.471,,4.352,4.352,,4.352,4.352,
195055,MNUMS 121,1717621200,435,6314,14.666,14.666,14.666,86.6,86.6,86.6,868.146,868.146,868.146,60.09,,60.09,0.631,3.8,3.8,,12.7,12.7,,9.3,9.3,,154.4,154.4,,847.283,847.283,,223.643,223.643,,37.987,37.987,,3.172,3.172,,2.017,2.017,,0.284,0.284,,3.441,3.441,,3.441,3.441,,5.221,5.221,,5.221,5.221,,6.457,6.457,,6.457,6.457,
195055,MNUMS 121,1717574400,432,6306,17.0,17.0,17.0,91.034,91.034,91.034,862.263,862.263,862.263,63.313,,63.313,0.424,0.7,0.7,,2.6,2.6,,2.7,2.7,,297.1,297.1,,173.774,173.774,,45.212,45.212,,7.318,7.318,,0.747,0.747,,0.425,0.425,,0.043,0.043,,0.071,0.071,,0.071,0.071,,0.378,0.378,,0.378,0.378,,0.623,0.623,,0.623,0.623,
195055,MNUMS 121,1717632000,432,6280,15.0,15.0,15.0,87.666,87.666,87.666,868.747,868.747,868.747,78.582,,78.582,0.521,3.9,3.9,,13.1,13.1,,9.5,9.5,,151.3,151.3,,876.352,876.352,,229.359,229.359,,38.189,38.189,,2.702,2.702,,1.385,1.385,,0.208,0.208,,3.486,3.486,,3.486,3.486,,5.316,5.316,,5.316,5.316,,6.236,6.236,,6.236,6.236,
195055,MNUMS 121,1717635600,546,6315,15.0,15.0,15.0,88.0,88.0,88.0,868.513,868.513,868.513,80.145,,80.145,0.5,3.3,3.3,,11.1,11.1,,8.5,8.5,,167.1,167.1,,741.27,741.27,,194.03,194.03,,31.717,31.717,,1.723,1.723,,0.783,0.783,,0.085,0.085,,2.79,2.79,,2.79,2.79,,4.275,4.275,,4.275,4.275,,4.809,4.809,,4.809,4.809,
